"U0028","Vehicle Communication Bus A"
"U0217","Lost Communication With 'Door Switch C'"
"P0324","Knock Control System Error"
"P0591","Cruise Control Multi-Function Input 'B' Circuit Range/Performance"
"P0748","Pressure Control Solenoid 'A' Electrical"
"P0A4C","Generator Position Sensor Circuit Range/Performance"
"P0608","Control Module VSS Output 'A'"
"P2245","O2 Sensor Reference Voltage Circuit Low"
"P3421","Cylinder 3 Exhaust Valve Control Circuit/Open"
"P0498","Evaporative Emission System Vent Valve Control Circuit Low"
"P2613","A/C Refrigerant Distribution Valve Control Circuit High"
"P0179","Fuel Composition Sensor Circuit High"
"U0036","Vehicle Communication Bus A (shorted to Bus A)"
"P0257","Injection Pump Fuel Metering Control 'B' Range/Performance (Cam/Rotor/Injector)"
"U0181","Lost Communication With Headlamp Leveling Control Module"
"P2273","O2 Sensor Signal Stuck Rich"
"P0711","Transmission Fluid Temperature Sensor 'A' Circuit Range/Performance"
"P2779","Downshift Switch Circuit Range/Performance"
"P0466","EVAP Purge Flow Sensor Circuit Range/Performance"
"P0082","Intake Valve Control Solenoid Circuit Low"
"P0511","Idle Air Control Circuit"
"P2150","Fuel Injector Group 'B' Supply Voltage Circuit Low"
"P2663","B' Rocker Arm Actuator Control Circuit Low"
"P0077","Intake Valve Control Solenoid Circuit High"
"P0950","Auto Shift Manual Control Circuit"
"P4036","Battery Block 36 Overtemperature"
"P3400","Cylinder Deactivation System"
"P2646","A' Rocker Arm Actuator System Performance or Stuck Off"
"P0761","Shift Solenoid 'C' Performance or Stuck Off"
"P0660","Intake Manifold Tuning Valve Control Circuit/Open"
"P0775","Pressure Control Solenoid 'B'"
"U0059","Vehicle Communication Bus D (High)"
"P2736","Pressure Control Solenoid 'F' Control Circuit/Open"
"P0561","System Voltage Unstable"
"P0575","Cruise Control Input Circuit"
"P2536","Ignition Switch Accessory Position Circuit"
"U0325","Software Incompatibility with Auxiliary Heater Control Module"
"P2A03","O2 Sensor Circuit Range/Performance"
"U0208","Lost Communication With 'Seat Control Module A'"
"P0A24","Generator Torque Sensor Circuit Low"
"P3031","Battery Block 21 Becomes Weak"
"U0431","Invalid Data Received From Body Control Module 'A'"
"P2319","Ignition Coil 'G' Primary Control Circuit High"
"U0140","Lost Communication With Body Control Module"
"U0101","Lost Communication with TCM"
"U0210","Lost Communication With 'Seat Control Module C'"
"P0138","O2 Sensor Circuit High Voltage"
"P2340","Cylinder #5 Above Knock Threshold"
"P0186","Fuel Temperature Sensor B Circuit Range/Performance"
"P0728","Engine Speed Input Circuit Intermittent"
"P0533","A/C Refrigerant Pressure Sensor 'A' Circuit High"
"P2759","Torque Converter Clutch Pressure Control Solenoid Control Circuit Electrical"
"P0002","Fuel Volume Regulator Control Circuit Range/Performance"
"P0637","Power Steering Control Circuit High"
"P0197","Engine Oil Temperature Sensor Low"
"P2225","NOx Sensor Heater Sense Circuit Intermittent"
"U0088","Reserved by J2012"
"P0528","Fan Speed Sensor Circuit No Signal"
"P2559","Engine Coolant Level Sensor/Switch Circuit High"
"P0859","Traction Control Input Signal High"
"P2611","A/C Refrigerant Distribution Valve Control Circuit/Open"
"P0250","Turbo/Super Charger Wastegate Solenoid 'B' High"
"P2045","Reductant Temperature Sensor Circuit High Input"
"P0838","Four Wheel Drive (4WD) Switch Circuit Low"
"C1525","Rotation Angle Sensor Initialization Undone"
"P0315","Crankshaft Position System Variation Not Learned"
"P0A7F","Hybrid Battery Pack Deterioration"
"P0886","TCM Power Relay Control Circuit Low"
"P0057","HO2S Heater Control Circuit Low"
"P2304","Ignition Coil 'B' Primary Control Circuit High"
"P3495","Cylinder 12 Exhaust Valve Control Circuit Low"
"P2271","O2 Sensor Signal Stuck Rich"
"P0897","Transmission Fluid Deteriorated"
"P0783","3-4 Shift"
"P2661","B' Rocker Arm Actuator System Performance or Stuck Off"
"P0188","Fuel Temperature Sensor B Circuit High"
"P0365","Camshaft Position Sensor 'B' Circuit"
"P2788","Auto Shift Manual Adaptive Learning at Limit"
"P2517","A/C Refrigerant Pressure Sensor 'B' Circuit Low"
"P0817","Starter Disable Circuit"
"P0A95","High Voltage Fuse"
"U0090","Reserved by J2012"
"P0106","Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance"
"P2A01","O2 Sensor Circuit Range/Performance"
"P0623","Generator Lamp Control Circuit"
"U0008","High Speed CAN Communication Bus (High)"
"P2567","Direct Ozone Reduction Catalyst Temperature Sensor Circuit"
"P0867","Transmission Fluid Pressure"
"P3019","Battery Block 9 Becomes Weak"
"P2193","System Too Lean at Higher Load"
"P2506","ECM/PCM Power Input Signal Range/Performance"
"P0806","Clutch Position Sensor Circuit Range/Performance"
"P3449","Cylinder 7 Deactivation/lntake Valve Control Circuit/Open"
"U0419","Invalid Data Received From Steering Effort Control Module"
"P2628","O2 Sensor Pumping Current Trim Circuit High"
"P0993","Transmission Fluid Pressure Sensor/Switch 'F' Circuit Range/Performance"
"P3040","Battery Block 30 Becomes Weak"
"P0A15","Engine Mount Control Circuit Low"
"U0010","Medium Speed CAN Communication Bus"
"P3476","Cylinder 10 Deactivation/lntake Valve Control Circuit High"
"U0427","Invalid Data Received From Vehicle Security Control Module"
"P0644","Driver Display Serial Communication Circuit"
"P0752","Shift Solenoid 'A' Stuck On"
"P0703","Brake Switch 'B' Circuit"
"P0459","Evaporative Emission System Purge Control Valve Circuit High"
"P4008","Battery Block 8 Overtemperature"
"P2790","Gate Select Direction Circuit"
"P0378","Timing Reference High Resolution Signal 'B' Intermittent/Erratic Pulses"
"P0438","Catalyst Temperature Sensor High"
"P0747","Pressure Control Solenoid 'A' Stuck On"
"P0486","Exhaust Gas Recirculation Sensor 'B' Circuit"
"P0734","Gear 4 Incorrect Ratio"
"P0108","Manifold Absolute Pressure/Barometric Pressure Circuit High Input"
"P0050","HO2S Heater Control Circuit"
"P0552","Power Steering Pressure Sensor/Switch Circuit Low Input"
"P2113","Throttle/Pedal Position Sensor 'B' Minimum Stop Performance"
"P3004","Power Cable Malfunction"
"P0890","TCM Power Relay Sense Circuit Low"
"P0A0D","High Voltage System Inter-Lock Circuit High"
"P2254","O2 Sensor Negative Current Control Circuit/Open"
"P0497","Evaporative Emission System Low Purge Flow"
"P2708","Shift Solenoid 'F' Stuck On"
"U0316","Software Incompatibility with Vehicle Dynamics Control Module"
"P3412","Cylinder 2 Deactivation/lntake Valve Control Circuit High"
"P0913","Gate Select Actuator Circuit High"
"U0404","Invalid Data Received From Gear Shift Control Module"
"U0060","Vehicle Communication Bus D (Open)"
"P4010","Battery Block 10 Overtemperature"
"C1554","Power Supply Relay Failure"
"P0781","1-2 Shift"
"P2710","Shift Solenoid 'F' Intermittent"
"P0356","Ignition Coil 'F' Primary/Secondary Circuit"
"P2163","Throttle/Pedal Position Sensor 'A' Maximum Stop Performance"
"P0680","Cylinder 10 Glow Plug Circuit"
"U0139","Reserved by J2012"
"P2510","ECM/PCM Power Relay Sense Circuit Range/Performance"
"P0417","Secondary Air Injection System Switching Valve 'B' Circuit Shorted"
"P3462","Cylinder 8 Exhaust Valve Control Performance"
"P2146","Fuel Injector Group 'A' Supply Voltage Circuit/Open"
"P0AA1","Hybrid Battery Positive Contractor Circuit Stuck Closed"
"P2339","Cylinder #4 Above Knock Threshold"
"P0946","Hydraulic Pump Relay Circuit Range/Performance"
"P2760","Torque Converter Clutch Pressure Control Solenoid Control Circuit Intermittent"
"C1516","Torque Sensor Zero Point Adjustment Incomplete"
"P0584","Cruise Control Vacuum Control Circuit High"
"P2298","O2 Sensor Out of Range During Deceleration"
"P0AA4","Hybrid Battery Negative Contractor Circuit Stuck Closed"
"P2560","Engine Coolant Level Low"
"P0621","Generator Lamp/L Terminal Circuit"
"P0467","EVAP Purge Flow Sensor Circuit Low"
"P2022","Intake Manifold Runner Position Sensor/Switch Circuit High"
"P0406","Exhaust Gas Recirculation Sensor 'A' Circuit High"
"U0207","Lost Communication With Moveable Roof Control Module"
"P2191","System Too Lean at Higher Load"
"P0A78","Drive Motor 'A' Inverter Performance"
"P2266","Water in Fuel Sensor Circuit Low"
"P0991","Transmission Fluid Pressure Sensor/Switch 'E' Circuit Intermittent"
"P2652","B' Rocker Arm Actuator System Stuck On"
"P4037","Battery Block 37 Overtemperature"
"P2543","Low Pressure Fuel System Sensor Circuit Intermittent"
"P0843","Transmission Fluid Pressure Sensor/Switch 'A' Circuit High"
"P2647","A' Rocker Arm Actuator System Stuck On"
"P2634","Fuel Pump 'B' Control Circuit High"
"P0519","Idle Air Control System Performance"
"P0137","O2 Sensor Circuit Low Voltage"
"P0701","Transmission Control System Range/Performance"
"P0600","Serial Communication Link"
"P0490","Exhaust Gas Recirculation Control Circuit High"
"P2111","Throttle Actuator Control System - Stuck Open"
"U0087","Reserved by J2012"
"P0527","Fan Speed Sensor Circuit Range/Performance"
"P3458","Cylinder 8 Deactivation/lntake Valve Control Performance"
"P3435","Cylinder 5 Deactivation/lntake Valve Control Circuit Low"
"P2054","Reductant Injector Circuit Low"
"P0911","Gate Select Actuator Circuit Range/Performance"
"P0ADB","Hybrid Battery Positive Contractor Control Circuit Low"
"P0246","Turbo/Super Charger Wastegate Solenoid 'A' High"
"P0569","Cruise Control Coast Signal"
"P0385","Crankshaft Position Sensor 'B' Circuit"
"P0504","Brake Switch 'A'/'B' Correlation"
"P2161","Vehicle Speed Sensor 'B' Intermittent/Erratic"
"P2175","Throttle Actuator Control System - Low Airflow Detected"
"P3039","Battery Block 29 Becomes Weak"
"P0961","Pressure Control Solenoid 'A' Control Circuit Range/Performance"
"P0332","Knock Sensor 2 Circuit Low"
"P2787","Clutch Temperature Too High"
"P0975","Shift Solenoid 'B' Control Circuit Range/Performance"
"P0291","Cylinder 11 Injector Circuit Low"
"P0093","Fuel System Leak Detected - Large Leak"
"U0224","Lost Communication With 'Door Window Motor C'"
"U0044","Vehicle Communication Bus B (High)"
"P2098","Post Catalyst Fuel Trim System Too Lean"
"U0200","Lost Communication With 'Door Control Module B'"
"P0123","Throttle/Pedal Position Sensor/Switch 'A' Circuit High"
"U0007","High Speed CAN Communication Bus (Low)"
"P0933","Hydraulic Pressure Sensor Range/Performance"
"P2128","Throttle/Pedal Position Sensor/Switch 'E' Circuit High Input"
"P0443","Evaporative Emission System Purge Control Valve Circuit"
"P2601","Coolant Pump Control Circuit Range/Performance"
"P0823","Gear Lever X Position Circuit Intermittent"
"P2627","O2 Sensor Pumping Current Trim Circuit Low"
"P2541","Low Pressure Fuel System Sensor Circuit Low"
"P0841","Transmission Fluid Pressure Sensor/Switch 'A' Circuit Range/Performance"
"P0305","Cylinder 5 Misfire Detected"
"P0720","Output Speed Sensor Circuit"
"P0928","Gear Shift Lock Solenoid Control Circuit/Open"
"P0144","O2 Sensor Circuit High Voltage"
"P2018","Intake Manifold Runner Position Sensor/Switch Circuit Intermittent"
"U0080","Reserved by J2012"
"P0520","Engine Oil Pressure Sensor/Switch Circuit"
"P2669","Actuator Supply Voltage 'B' Circuit /Open"
"P2744","Transmission Fluid Temperature Sensor 'B' Circuit Intermittent"
"P0214","Cold Start Injector 2"
"P4007","Battery Block 7 Overtemperature"
"P2530","Ignition Switch Run Position Circuit"
"P0377","Timing Reference High Resolution Signal 'B' Too Few Pulses"
"P0830","Clutch Pedal Switch 'A' Circuit"
"P0226","Throttle/Pedal Position Sensor/Switch 'C' Circuit Range/Performance"
"P2707","Shift Solenoid 'F' Performance or Stuck Off"
"P0046","Turbo/Super Charger Boost Control Solenoid Circuit Range/Performance"
"P2183","Engine Coolant Temperature Sensor 2 Circuit Range/Performance"
"P2068","Fuel Level Sensor 'B' Circuit High"
"P0955","Auto Shift Manual Mode Circuit"
"P3482","Cylinder 11 Deactivation/lntake Valve Control Performance"
"P2507","ECM/PCM Power Input Signal Low"
"P0264","Cylinder 2 Injector Circuit Low"
"P0180","Fuel Temperature Sensor A Circuit"
"P3477","Cylinder 10 Exhaust Valve Control Circuit/Open"
"P2414","O2 Sensor Exhaust Sample Error"
"P0649","Speed Control Lamp Control Circuit"
"P2780","Downshift Switch Circuit Low"
"P0692","Fan 1 Control Circuit High"
"P0233","Fuel Pump Secondary Circuit Intermittent"
"P0091","Fuel Pressure Regulator 1 Control Circuit Low"
"P2426","Exhaust Gas Recirculation Cooling Valve Control Circuit Low"
"P0676","Cylinder 6 Glow Plug Circuit"
"U0024","Low Speed CAN Communication Bus (Open)"
"P2259","Secondary Air Injection System Control 'B' Circuit Low"
"P2238","O2 Sensor Positive Current Control Circuit Low"
"P4021","Battery Block 21 Overtemperature"
"P2286","Injector Control Pressure Sensor Circuit High"
"U0145","Lost Communication With Body Control Module 'E'"
"P0121","Throttle/Pedal Position Sensor/Switch 'A' Circuit Range/Performance"
"P2297","O2 Sensor Out of Range During Deceleration"
"U0215","Lost Communication With 'Door Switch A'"
"P2721","Pressure Control Solenoid 'D' Control Circuit High"
"P0612","Fuel Injector Control Module Relay Control"
"P0011","A' Camshaft Position - Timing Over-Advanced or System Performance"
"P0931","Gear Shift Lock Solenoid Control Circuit High"
"P2620","Throttle Position Output Circuit/Open"
"P0423","Heated Catalyst Efficiency Below Threshold"
"P0441","Evaporative Emission System Incorrect Purge Flow"
"P0272","Cylinder 4 Contribution/Balance"
"P2152","Fuel Injector Group 'C' Supply Voltage Circuit/Open"
"P2103","Throttle Actuator Control Motor Circuit High"
"P0255","Injection Pump Fuel Metering Control 'A' Intermittent (Cam/Rotor/Injector)"
"P2147","Fuel Injector Group 'A' Supply Voltage Circuit Low"
"P2134","Throttle/Pedal Position Sensor/Switch 'F' Circuit Intermittent"
"P0952","Auto Shift Manual Control Circuit Low"
"U0306","Software Incompatibility with Fuel Injector Control Module"
"P3402","Cylinder 1 Deactivation/lntake Valve Control Performance"
"P0789","Shift/Timing Solenoid Intermittent"
"P2724","Pressure Control Solenoid 'E' Stuck On"
"P0370","Timing Reference High Resolution Signal 'A'"
"P2217","NOx Sensor Circuit Intermittent Input"
"P0430","Catalyst System Efficiency Below Threshold"
"P0100","Mass or Volume Air Flow Circuit"
"P0662","Intake Manifold Tuning Valve Control Circuit High"
"P0589","Cruise Control Multi-Function Input 'B' Circuit"
"P2524","A/C Request 'B' Circuit High"
"P0061","HO2S Heater Resistance"
"P0824","Gear Lever Y Position Circuit Intermittent"
"P2700","Transmission Friction Element 'A' Apply Time Range/Performance"
"P3457","Cylinder 8 Deactivation/lntake Valve Control Circuit/Open"
"P0075","Intake Valve Control Solenoid Circuit"
"P2181","Cooling System Performance"
"P2267","Water in Fuel Sensor Circuit High"
"P0064","HO2S Heater Control Circuit High"
"P2206","NOx Sensor Heater Control Circuit Low"
"P0629","Fuel Pump 'A' Control Circuit High"
"U0212","Lost Communication With Steering Column Control Module"
"P2342","Cylinder #7 Above Knock Threshold"
"P0231","Fuel Pump Secondary Circuit Low"
"P0033","Turbo Charger Bypass Valve Control Circuit"
"U0153","Lost Communication With Side Restraints Control Module Right"
"P0984","Shift Solenoid 'E' Control Circuit Range/Performance"
"P0999","Shift Solenoid 'F' Control Circuit High"
"P0028","Intake Valve Control Solenoid Circuit Range/Performance"
"P2059","Reductant Injection Air Pump Control Circuit/Open"
"P2038","Reductant Injection Air Pressure Sensor Circuit Range/Performance"
"P2290","Injector Control Pressure Too Low"
"P2086","Exhaust Gas Temperature Sensor Circuit Range/Performance"
"P0709","Transmission Range Sensor Circuit Intermittent"
"P0658","Actuator Supply Voltage 'A' Circuit Low"
"P2097","Post Catalyst Fuel Trim System Too Rich"
"P0635","Power Steering Control Circuit"
"P0509","Idle Air Control System Circuit High"
"P0919","Gear Shift Position Control Error"
"P2101","Throttle Actuator Control Motor Circuit Range/Performance"
"P0055","HO2S Heater Resistance"
"P0895","Shift Time Too Short"
"U0174","Lost Communication With 'Restraints System Sensor E'"
"P0927","Gear Shift Reverse Actuator Circuit High"
"U0065","Vehicle Communication Bus E (Performance)"
"P2403","Evaporative Emission System Leak Detection Pump Sense Circuit/Open"
"P2017","Intake Manifold Runner Position Sensor/Switch Circuit High"
"U0229","Lost Communication With Heated Steering Wheel Module"
"P0424","Heated Catalyst Temperature Below Threshold"
"P2447","Secondary Air Injection System Pump Stuck Off"
"P2434","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Intermittent/Erratic"
"P3450","Cylinder 7 Deactivation/lntake Valve Control Performance"
"P0969","Pressure Control Solenoid 'C' Control Circuit Range/Performance"
"U0092","Reserved by J2012"
"P0284","Cylinder 8 Contribution/Balance"
"P0904","Gate Select Position Circuit"
"P0299","Turbo/Super Charger Underboost"
"P2515","A/C Refrigerant Pressure Sensor 'B' Circuit"
"P0815","Upshift Switch Circuit"
"P2067","Fuel Level Sensor 'B' Circuit Low"
"U0122","Lost Communication With Vehicle Dynamics Control Module"
"P2006","Intake Manifold Runner Control Stuck Closed"
"P3222","Generator Inverter Temperature Sensor Circuit High/Low"
"P2322","Ignition Coil 'H' Primary Control Circuit High"
"P3042","Battery Block 32 Becomes Weak"
"P0149","Fuel Timing Error"
"U0012","Medium Speed CAN Communication Bus (Open)"
"P2243","O2 Sensor Reference Voltage Circuit/Open"
"P0031","HO2S Heater Control Circuit Low"
"U0151","Lost Communication With Restraints Control Module"
"P0219","Engine Overspeed Condition"
"P2565","Turbocharger Boost Control Position Sensor Circuit High"
"P0865","TCM Communication Circuit Low"
"P0176","Fuel Composition Sensor Circuit"
"P2792","Gate Select Direction Circuit High"
"P2609","Intake Air Heater System Performance"
"P2776","Upshift Switch Circuit Low"
"P0849","Transmission Fluid Pressure Sensor/Switch 'B' Circuit Intermittent"
"U0078","Reserved by J2012"
"P0227","Throttle/Pedal Position Sensor/Switch 'C' Circuit Low"
"P2090","B' Camshaft Position Actuator Control Circuit Low"
"U0062","Vehicle Communication Bus D (High)"
"P4012","Battery Block 12 Overtemperature"
"U0425","Invalid Data Received From Auxiliary Heater Control Module"
"P0112","Intake Air Temperature Sensor 1 Circuit Low"
"P0269","Cylinder 3 Contribution/Balance"
"P0745","Pressure Control Solenoid 'A'"
"P2120","Throttle/Pedal Position Sensor/Switch 'D' Circuit"
"P2712","Hydraulic Power Unit Leakage"
"P0204","Injector Circuit/Open - Cylinder 4"
"P0495","Fan Speed High"
"P0682","Cylinder 12 Glow Plug Circuit"
"P0773","Shift Solenoid 'E' Electrical"
"P0920","Gear Shift Forward Actuator Circuit/Open"
"U0056","Vehicle Communication Bus D (Performance)"
"P2010","Intake Manifold Runner Control Circuit High"
"P2440","Secondary Air Injection System Switching Valve Stuck Open"
"P2401","Evaporative Emission System Leak Detection Pump Control Circuit Low"
"P0573","Brake Switch 'A' Circuit High"
"U0323","Software Incompatibility with Instrument Panel Control Module"
"U0029","Vehicle Communication Bus A (Performance)"
"P0162","O2 Sensor Circuit"
"U0232","Lost Communication With Side Obstacle Detection Control Module Left"
"P2762","Torque Converter Clutch Pressure Control Solenoid Control Circuit Range/Performance"
"P2287","Injector Control Pressure Sensor Circuit Intermittent"
"P0878","Transmission Fluid Pressure Sensor/Switch 'D' Circuit High"
"P0084","Exhaust Valve Control Solenoid Circuit"
"P0415","Secondary Air Injection System Switching Valve 'B' Circuit"
"P2316","Ignition Coil 'F' Primary Control Circuit High"
"P0393","Camshaft Position Sensor 'B' Circuit High"
"P0099","Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic"
"U0330","Software Incompatibility with Tire Pressure Monitor Module"
"U0198","Lost Communication With Telematic Control Module"
"P4029","Battery Block 29 Overtemperature"
"P2756","Torque Converter Clutch Pressure Control Solenoid"
"P3022","Battery Block 12 Becomes Weak"
"P2223","NOx Sensor Heater Sense Circuit Low"
"P2241","O2 Sensor Positive Current Control Circuit Low"
"P2729","Pressure Control Solenoid 'E' Control Circuit Low"
"P2556","Engine Coolant Level Sensor/Switch Circuit"
"P2043","Reductant Temperature Sensor Circuit Range/Performance"
"P0465","EVAP Purge Flow Sensor Circuit"
"C1523","Motor Circuit Malfunction"
"P0313","Misfire Detected with Low Fuel"
"P0019","Crankshaft Position - Camshaft Position Correlation"
"C1541","Vehicle Speed Signal Malfunction"
"U0205","Lost Communication With 'Door Control Module G'"
"U0118","Reserved by J2012"
"P3493","Cylinder 12 Exhaust Valve Control Circuit/Open"
"P0449","Evaporative Emission System Vent Valve/Solenoid Circuit"
"P3051","Battery Block 41 Becomes Weak"
"P0602","Control Module Programming Error"
"P2230","Barometric Pressure Circuit Intermittent"
"P2318","Ignition Coil 'G' Primary Control Circuit Low"
"P0027","Exhaust Valve Control Solenoid Circuit Range/Performance"
"P2645","A' Rocker Arm Actuator Control Circuit/Open"
"P0158","O2 Sensor Circuit High Voltage"
"P0135","O2 Sensor Heater Circuit"
"P0657","Actuator Supply Voltage 'A' Circuit/Open"
"P0363","Misfire Detected - Fueling Disabled"
"P0069","Manifold Absolute Pressure - Barometric Pressure Correlation"
"U0168","Lost Communication With Vehicle Security Control Module"
"P0004","Fuel Volume Regulator Control Circuit High"
"U0085","Reserved by J2012"
"P0525","Cruise Control Servo Control Circuit Range/Performance"
"P2189","System Too Lean at Idle"
"P0858","Traction Control Input Signal Low"
"P0835","Clutch Pedal Switch 'B' Circuit High"
"P0989","Transmission Fluid Pressure Sensor/Switch 'E' Circuit Low"
"P0A93","Inverter Cooling System Performance"
"P0571","Brake Switch 'A' Circuit"
"U0321","Software Incompatibility with Ride Level Control Module"
"P0478","Exhaust Pressure Control Valve High"
"U0032","Vehicle Communication Bus A (High)"
"P2087","Exhaust Gas Temperature Sensor Circuit Intermittent"
"P3016","Battery Block 6 Becomes Weak"
"P3446","Cylinder 6 Exhaust Valve Control Performance"
"U0416","Invalid Data Received From Vehicle Dynamics Control Module"
"P2785","Clutch Actuator Temperature Too High"
"P0A13","DC/DC Converter Enable Circuit High"
"P0348","Camshaft Position Sensor 'A' Circuit High"
"U0300","Internal Control Module Software Incompatibility"
"P0394","Camshaft Position Sensor 'B' Circuit Intermittent"
"P2041","Reductant Injection Air Pressure Sensor Circuit Intermittent"
"P0722","Output Speed Sensor Circuit No Signal"
"C1521","Motor Circuit Malfunction"
"P0311","Cylinder 11 Misfire Detected"
"P3491","Cylinder 12 Deactivation/lntake Valve Control Circuit Low"
"P2439","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Intermittent/Erratic"
"U0005","High Speed CAN Communication Bus (High)"
"P0A63","Drive Motor 'A' Phase W Current"
"P2109","Throttle/Pedal Position Sensor 'A' Minimum Stop Performance"
"P2030","Fuel Fired Heater Performance"
"P2532","Ignition Switch Run Position Circuit High"
"P0832","Clutch Pedal Switch 'A' Circuit High"
"P0289","Cylinder 10 Injector Circuit High"
"P2224","NOx Sensor Heater Sense Circuit High"
"P0909","Gate Select Control Error"
"P2625","Injector Control Pressure Regulator Circuit High"
"P0650","Malfunction Indicator Lamp (MIL) Control Circuit"
"U0136","Reserved by J2012"
"P0361","Ignition Coil 'K' Primary/Secondary Circuit"
"P2671","Actuator Supply Voltage 'B' Circuit High"
"P4005","Battery Block 5 Overtemperature"
"P2007","Intake Manifold Runner Control Stuck Closed"
"P3411","Cylinder 2 Deactivation/lntake Valve Control Circuit Low"
"P0375","Timing Reference High Resolution Signal 'B'"
"P0458","Evaporative Emission System Purge Control Valve Circuit Low"
"P0435","Catalyst Temperature Sensor"
"P0754","Shift Solenoid 'A' Intermittent"
"P2336","Cylinder #1 Above Knock Threshold"
"P0182","Fuel Temperature Sensor A Circuit Low"
"P2705","Transmission Friction Element 'F' Apply Time Range/Performance"
"P0554","Power Steering Pressure Sensor/Switch Circuit Intermittent"
"P0177","Fuel Composition Sensor Circuit Range/Performance"
"P2505","ECM/PCM Power Input Signal"
"P0596","Cruise Control Servo Control Circuit High"
"P3461","Cylinder 8 Exhaust Valve Control Circuit/Open"
"U0159","Lost Communication With Parking Assist Control Module"
"P3475","Cylinder 10 Deactivation/lntake Valve Control Circuit Low"
"P0877","Transmission Fluid Pressure Sensor/Switch 'D' Circuit Low"
"P0A11","DC/DC Converter Enable Circuit/Open"
"P0328","Knock Sensor 1 Circuit High"
"P1606","Collision Detection"
"P3464","Cylinder 8 Exhaust Valve Control Circuit High"
"P0516","Battery Temperature Sensor Circuit Low"
"P0798","Pressure Control Solenoid 'C' Electrical"
"U0057","Vehicle Communication Bus D (Open)"
"P0A9C","Hybrid Battery Temperature Sensor 'A'"
"P2295","Fuel Pressure Regulator 2 Control Circuit Low"
"P3433","Cylinder 5 Deactivation/lntake Valve Control Circuit/Open"
"P0432","Main Catalyst Efficiency Below Threshold"
"P0102","Mass or Volume Air Flow Circuit Low Input"
"P0A75","Generator Phase W Current"
"U0070","Vehicle Communication Bus E (Low)"
"P0383","Reserved by SAE J2012"
"P0089","Fuel Pressure Regulator 1 Performance"
"P2024","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit"
"P0566","Cruise Control Off Signal"
"U0188","Lost Communication With Digital Disc Player/Changer Module 'B'"
"P0718","Input/Turbine Speed Sensor 'A' Circuit Intermittent"
"P2145","Exhaust Gas Recirculation Vent Control Circuit High"
"P2654","B' Rocker Arm Actuator Control Circuit High"
"P0802","Transmission Control System MIL Request Circuit/Open"
"P0157","O2 Sensor Circuit Low Voltage"
"P2215","NOx Sensor Circuit Low Input"
"P2173","Throttle Actuator Control System - High Airflow Detected"
"P3036","Battery Block 26 Becomes Weak"
"P2757","Torque Converter Clutch Pressure Control Solenoid Control Circuit Performance or Stuck Off"
"U0167","Lost Communication With Vehicle Immobilizer Control Module"
"P0973","Shift Solenoid 'A' Control Circuit Low"
"P3455","Cylinder 7 Exhaust Valve Control Circuit Low"
"P0768","Shift Solenoid 'D' Electrical"
"P0482","Fan 3 Control Circuit"
"P2770","Torque Converter Clutch Circuit High"
"P0A28","Battery Power Off Circuit Low"
"P2265","Water in Fuel Sensor Circuit Range/Performance"
"U0312","Software Incompatibility with Battery Energy Control Module A"
"P2570","Direct Ozone Reduction Catalyst Temperature Sensor Circuit High"
"P2249","O2 Sensor Reference Voltage Circuit Low"
"P0870","Transmission Fluid Pressure Sensor/Switch 'C' Circuit"
"P0477","Exhaust Pressure Control Valve Low"
"P2616","Camshaft Position Signal Output Circuit High"
"U0190","Lost Communication With Digital Disc Player/Changer Module 'D'"
"P0352","Ignition Coil 'B' Primary/Secondary Circuit"
"P0303","Cylinder 3 Misfire Detected"
"P0009","Engine Position System Performance"
"U0108","Lost Communication With Alternative Fuel Control Module"
"P0347","Camshaft Position Sensor 'A' Circuit Low"
"P0334","Knock Sensor 2 Circuit Input Intermittent"
"P0AE6","Hybrid Battery Precharge Contractor Control Circuit Low"
"P2666","Fuel Shutoff Valve 'B' Control Circuit Low"
"P2308","Ignition Coil 'C' Secondary Circuit"
"P2095","B' Camshaft Position Actuator Control Circuit High"
"P3431","Cylinder 4 Exhaust Valve Control Circuit Low"
"P0942","Hydraulic Pressure Unit"
"U0110","Lost Communication With Drive Motor Control Module"
"P062F","EEPROM Malfunction"
"P0381","Glow Plug/Heater Indicator Circuit"
"P2310","Ignition Coil 'D' Primary Control Circuit High"
"P2125","Throttle/Pedal Position Sensor/Switch 'E' Circuit"
"P2278","O2 Sensor Signals Swapped Bank 1 Sensor 3 / Bank 2 Sensor 3"
"P0150","O2 Sensor Circuit"
"P0402","Exhaust Gas Recirculation Flow Excessive Detected"
"P0925","Gear Shift Reverse Actuator Circuit Range/Performance"
"P2015","Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance"
"P2171","Exhaust Pressure Regulator Vent Solenoid Control Circuit High"
"U0160","Lost Communication With Audible Alert Control Module"
"P2445","Secondary Air Injection System Pump Stuck Off"
"P0646","A/C Clutch Relay Control Circuit Low"
"P0971","Pressure Control Solenoid 'C' Control Circuit High"
"P0850","Park/Neutral Switch Input Circuit"
"P2256","O2 Sensor Negative Current Control Circuit High"
